fact_key,student_key,time_key,teacher_key,socioeconomic_key,school_key,location_key,aid_key,community_key,dropout_status,reason_for_dropout
fc8eb23c-430c-4c05-ba70-3bc5a3a1ab76,40969e9a-5f6d-4eb7-8da0-932e35fa8ae9,dcab06c3-ac67-4808-815c-dfbc45fa39d1,c2e04239-ac14-4b72-b66d-06949041617f,df912339-6de7-4b79-a73b-565d6fc6a049,a7b79290-0c84-4011-8a4c-b0818c79b8d2,6d8151bb-efa5-41e3-b4c1-79a5a93563e1,b79f7eaf-d304-42b0-b841-d66eed94fd69,335ac645-cfc9-4a29-8972-9b5e1936c34f,False,Marriage/Children
d36b38ea-3e2d-4a5b-989f-d5bde12c5005,6e1878dd-87a4-42e2-b11d-1752308f473e,fc4f9967-4a39-4f1f-845d-3a17013b96fe,423cc66a-3bda-412e-bc8e-b98f4919a86f,bcaceca7-3750-4379-885a-89f2e54ef5ff,0bfd5d75-d104-4813-a4a0-9898e627e4e3,ef299420-9c9c-4406-93e5-483497f8b0ad,4d66165b-97e6-4228-964b-5b37c035a2ac,6a86283c-360b-44e9-bb36-d8152ecef395,False,Marriage/Children
bbed65dd-fe40-403c-a286-e64824814faf,49fcb91b-f077-4d15-8d6b-e36740c93af0,4e0ffc0c-074b-4d4a-b34e-26cce768e9d2,894d081a-b20e-4037-b135-b712efe3b34d,1535aae4-f44f-49c6-bfa4-36255ad7fa63,32182950-098a-4427-933b-ec2d1587974e,e4aa07b4-de86-4029-bbc5-7d8601957e87,f0fe464d-8148-4164-86a4-fb7aa86e5944,51397cd4-29e6-438a-a808-57ec4b6fbd8d,False,Special needs
ee99b37c-8370-4973-8742-840a8a0bb541,c752bb22-a03e-4809-aa73-6350eed27dcf,876c337f-457a-4843-82fd-656ef0c94bbe,4842b552-2ddf-433e-9676-2ccbdc16cf96,af62b63b-b5d0-4f7d-8524-14169563b404,7b9f8e25-124a-42c4-9fc4-1284904e500e,bb2e8a8c-4c76-44c2-bcfb-761ad0ca63c3,61e22c9e-0479-49a0-a863-672d41342a85,996cf398-0105-4782-9a78-76e49c697032,False,Financial difficulties
89622e4f-948a-4206-a7db-c1c3abb322e3,1b307c10-231a-4fd2-8db6-a143a505202c,487a7fa8-481a-4e4f-b48f-28f0d147d508,6d87e34d-6ac9-4410-96af-41e01de214f1,5db199b1-d118-497f-bcbb-d293a45e5ac4,dede17bc-0dee-4fd6-b8f0-086c2eec6bde,94bc62f5-3b70-4562-84dc-dd6b015ab6d3,2610cd5f-1caa-45ff-bc5a-2dab1a715a9e,d9216a5c-d066-4021-93fa-13f2897a359a,True,Political instability
2b6a6197-7337-4872-b0b9-74744f10473e,82185b7c-bc14-492f-89d5-fd505f2b2ef4,23ce7e86-ff49-40a3-a384-ec19f4724549,9b01d8f3-d290-4fb1-89a0-dcfc4eda5ac3,f63c14a8-905f-4d5f-b019-803073bcabe1,50c5051c-2227-476c-bef6-cee32667e78b,52729661-c86a-471a-aedb-b89ce50c00fa,75efe3a9-4848-40de-8709-34bf8341d0fc,93611747-fe37-497d-b6e8-abc5113e1882,False,Political instability
efc9c00c-3194-47e5-9a1e-54af1857bba7,bf4a7619-b26a-4189-b53a-f41d99cf785b,e8749f5f-7929-4349-a256-7cd9595968a4,7bffbddc-bedc-40ef-bae2-604bb02b4043,d1e7a8e0-2d9e-40a0-b236-edb0eecf448e,4dbcb465-4ccd-4756-a4ab-cb0491cc81b6,e870576a-a4ac-4494-ab35-86a5ad1925db,bc2ab44c-9ba2-41ed-9be3-4e0df1cfa8d6,63e067fb-19df-436a-a1fe-6350a782e32f,True,Marriage/Children
311a15ca-819d-412b-b445-9bb7ab70533c,48df9fc8-1e5d-407e-9313-9879e3950fc1,c3bd4340-f5b9-4e28-83e1-1782283f5433,d22336f9-14e4-4912-82a6-b5ee7320604e,fc6419ad-2ce9-43e2-a6ec-3a925d32e7b6,73c370cb-dad5-475f-b875-4b8be43716d8,f32448ea-628f-47e0-8d7c-b44a9d03e1da,e2ffd31c-301b-476a-889b-fa05fa87381c,0bf6fc7c-def1-49e0-8cc4-bbb71d5f1066,False,Special needs
4fe12e03-6bc4-4369-9be4-faaf516b76fb,7fcca246-1f17-4e6e-a22f-afff35caefda,c44fc955-ee19-4179-aa3f-a2a11220d31e,2297f1c5-ae6c-41a9-b01c-6f5aed421d30,13da84f1-6c3d-423d-9c6a-1bbb458a459a,f8712408-f876-4b98-84ef-07722bf96eb6,7ae02210-6cbb-4af2-8a0b-930fcdda4e26,d423a3cc-7c03-43e5-b5ca-ff6451a941ae,1153cd7d-2a12-4cac-a6ff-80cc7c034eec,False,Marriage/Children
3e60af40-b6c0-4d43-ac82-132aad12b507,d9127306-2868-477f-9caa-dcb577723852,dfe99776-aa7b-4950-944a-5a5546d552f7,f409e4a2-19bf-4ecb-849d-809d0b145ba3,f4dc5620-edc8-4662-a400-d8d50ec77e55,1977ab19-21b8-49e7-94eb-5cb223de4bf4,f1f9c2f4-9765-4a62-975e-4b1072723e33,4f242de7-3a9a-43c6-b0f1-12109d68c5cc,f3b5750e-8f5c-44f2-a257-e1b90afb7fd8,True,Financial difficulties
