ef7f5900-8564-4133-a429-b70be26f60c9,2020-2021,Second,August,TRUE
5bcb7f2a-58f7-4937-91fb-02d1821234cf,2023-2024,First,January,TRUE
b14c2e0f-1c1c-4d60-b7d5-242dbe229c05,2021-2022,First,March,FALSE
6a771a9a-d5fa-4142-9d63-e77a5339d570,2019-2020,Second,January,FALSE
dc0f0505-14b9-41f2-aa99-326dad665a01,2020-2021,Second,May,TRUE
fc5b0257-8f47-4da9-aa22-1c696bdec5f0,2020-2021,Second,September,TRUE
faf87505-4d30-4957-a438-7607950f7500,2022-2023,First,January,TRUE
6baafc70-3d50-47aa-90cf-f4d20b0bccd9,2023-2024,First,June,TRUE
63549976-3d2e-429f-bf0b-7aaeef292e5d,2021-2022,First,September,TRUE
039f665c-a3a4-4bd4-a846-ebe84039f216,2021-2022,First,April,TRUE
5ed8d093-e1f2-4d69-9194-a2fd57756632,2021-2022,First,June,TRUE
69cf6200-b213-4031-9e92-36cf50470347,2023-2024,First,December,TRUE
125e4b3f-e811-43a9-9d16-1c2d1dd75760,2021-2022,Second,December,TRUE
558f8562-9646-41ac-b501-3e0b3815dbf4,2021-2022,Second,October,TRUE
2ff7306a-3018-4214-bbf1-9ea96a52cfdc,2020-2021,First,April,TRUE
5f175b50-e803-49dc-82c3-badb21b7043c,2019-2020,Second,December,FALSE
260a0a2c-82c1-47cb-931b-9633ee5cfbab,2023-2024,Second,July,TRUE
67727fb4-9b63-4b40-a519-e7715f898ff9,2020-2021,First,March,FALSE
14dec4ee-20ef-4022-97ec-ec56113f8d7d,2022-2023,Second,July,FALSE
b5828358-a428-4ea5-a533-f9daf2e4400d,2020-2021,First,March,FALSE
7377fab1-9148-49a9-a74e-72696dfdf9e0,2023-2024,First,July,TRUE
4fd806d8-e458-4273-bd34-1081d87d7bf1,2019-2020,Second,May,FALSE
b320c670-c282-4d05-96e9-e7658edbe792,2023-2024,Second,October,TRUE
7c700193-9469-409f-a349-0196e09a5dea,2020-2021,Second,January,TRUE
7b52fa70-868d-4b91-8dde-40448daea332,2019-2020,First,April,TRUE
81e9684e-d3c8-4150-80f0-2458923189e0,2021-2022,Second,June,FALSE
6889ca28-fd8a-4dc9-9b44-b13ea0a21284,2021-2022,Second,December,TRUE
9257e288-15d4-4ee8-b2bd-08a9bd518fef,2022-2023,Second,June,FALSE
0ef6ea60-3976-4904-ae01-c05e6cc37514,2023-2024,First,April,TRUE
a081662d-7ea2-4411-a97b-369958f60e10,2021-2022,Second,January,FALSE
34721414-b568-4693-8286-e4020d0b1341,2020-2021,Second,May,TRUE
d4ade022-e003-4105-9219-a03b63809bf6,2022-2023,Second,June,TRUE
c30d0b0d-2e30-48bb-aee6-5b00fd3e1572,2023-2024,Second,March,FALSE
bb559617-903a-4711-904e-e13758f8af4e,2020-2021,First,March,TRUE
2215ee0d-401c-4041-ac05-539e141de4d1,2019-2020,Second,March,FALSE
1ed92dca-f0f8-49c6-811b-673c3c2cef2f,2023-2024,Second,July,FALSE
67c61987-4814-4e7c-bb90-b5dc22573398,2019-2020,First,July,TRUE
c4227968-b7ee-4510-aaad-ca47961ef83b,2020-2021,Second,June,FALSE
63f4bc0f-7ce4-4aec-9c50-094e028e2548,2021-2022,Second,September,FALSE
c0ce29b9-1ba0-4720-b918-455b342c342e,2019-2020,First,December,FALSE
d353a992-9217-4d2f-9729-7cc39b1ecc2d,2023-2024,First,October,TRUE
3e643cd0-6cdd-41bf-9cbc-fb88809de93b,2021-2022,First,September,TRUE
a6ce504d-aea2-4e80-bf06-a77e77790e7a,2021-2022,Second,November,FALSE
5ce1d22a-862f-4417-963c-1eaf0458c132,2020-2021,Second,September,FALSE
cff32669-39e9-42a9-988c-ce05aad7e7d3,2023-2024,First,October,TRUE
c9c2061b-6b89-4151-8122-63d763680eef,2019-2020,Second,October,FALSE
03171354-3151-4408-ac7c-a24c26603c5c,2021-2022,Second,October,TRUE
6acc39c9-592a-4eeb-b045-ac4469c94fc0,2020-2021,Second,November,FALSE
bca5f784-a423-4dd2-b4c1-fe22786f67f8,2020-2021,Second,July,TRUE
5fabaf5c-746c-4e6b-bd86-678b5a502701,2020-2021,First,July,TRUE
4a119d95-bb3d-496a-9ece-b743643f6e6a,2019-2020,First,August,FALSE
855597bc-9ba4-4510-842f-96912a8c2b0a,2020-2021,Second,February,TRUE
007a5deb-109c-4ffe-8ce6-34e74f340d8e,2023-2024,Second,June,FALSE
02267d71-e13f-43bd-8c47-abcccc9c4255,2023-2024,First,March,TRUE
090bb275-b5be-41a8-b96e-8963d68d746b,2023-2024,First,February,FALSE
28cafb6b-be97-40e5-9aea-c80d379313d4,2022-2023,First,November,TRUE
37cef3b9-04ba-4313-b407-7faa78018d81,2022-2023,First,October,FALSE
c4596b6d-4efc-4845-a0a1-4880c09d1a5d,2021-2022,First,March,FALSE
71ca0be9-b59e-47cc-ac92-c8268615330c,2023-2024,Second,May,FALSE
fca94d04-b1dc-4fe3-9d68-57744dfaa83c,2020-2021,Second,November,TRUE
cb36ae1d-bf86-4c0d-b4ff-2d85618517bd,2021-2022,First,November,FALSE
b9813055-aefa-4e4e-a098-5aac532b26b5,2020-2021,First,January,TRUE
d6cc298d-576f-4527-897b-e1ad3ab1534d,2020-2021,First,December,TRUE
8e89bf1c-1dad-4961-94b3-79f469c4b61f,2023-2024,Second,November,FALSE
26b81db9-c0b7-49f3-b0c4-bb2783cd578a,2022-2023,First,July,FALSE
d5b5c13e-3e2a-4c08-b720-a35d034b3b25,2022-2023,Second,August,FALSE
afcdb099-00d8-4763-8a40-3e66f9c09d6c,2020-2021,First,December,TRUE
d303e1df-db60-4a2f-ade4-7935d7d35684,2019-2020,First,May,TRUE
952b4799-b849-4cf1-b41d-12c5ac2f746a,2023-2024,First,September,FALSE
fc26e00b-aa8b-4afb-816d-6a1a545b1bc0,2020-2021,Second,September,TRUE
a94c0732-2384-4d67-b772-059569bf8828,2022-2023,First,February,FALSE
