9f69881a-2adf-40e9-9e38-9163ca410f1b,Low,,True,False,12,Christian,Crisis
a07dc689-3f2f-4d5a-8188-431e6c96c78d,Medium,Tertiary,True,False,8,Muslim,Stable
18954c66-2342-42b3-a3fb-cd0d514343fa,Medium,Secondary,False,True,13,Other,Stable
8d3b9256-20d2-4212-b2c0-6c467be1c5a6,Medium,Primary,True,True,9,Christian,Stable
c6e1ece9-43b5-4ade-a43c-abb04e344bcb,Low,Primary,False,True,5,Christian,Stable
a4a2d8f2-ed1a-4acd-bac3-7ca386452f11,Low,Primary,False,True,8,Muslim,Stable
88e4cbea-9107-41b1-abec-0980ab84f484,Low,,True,True,8,Other,Instable
05c23771-297f-40b9-a9c4-7f930f49d71b,Low,Secondary,False,False,10,Christian,Stable
13795859-9e02-4541-a7a8-93dfe4207f84,Medium,Secondary,True,True,7,Muslim,Stable
fd2e1d55-757e-41aa-adde-a462a4bfced2,Low,Secondary,False,False,5,Muslim,Stable
c66200a1-5079-401b-a24b-1b882c1e3c98,Low,Secondary,False,False,11,Christian,Crisis
3e74e173-a5da-4e52-a75d-8eb11b3aec16,Medium,Primary,True,True,12,Traditional,Stable
086263f9-2546-4888-8340-0423b80ffdc1,Low,Secondary,False,False,6,Christian,Instable
d74c5bf5-55ea-4426-a007-dd3e4ff75f78,Medium,,True,False,8,Christian,Crisis
1c788758-c0e5-4034-8404-86737d9aac5f,Medium,Primary,True,True,10,Christian,Instable
1b5001d7-3e85-4841-bd0f-3bb9fccf465d,High,,False,True,8,Muslim,Instable
c31522d9-f574-43d3-9ce6-da954a7f9e0a,Medium,Tertiary,True,True,7,Muslim,Stable
b8bf24cf-231e-4008-a137-21c3dd05191b,High,Primary,False,True,7,Muslim,Stable
37fb6742-0f80-4a7a-ba25-86875f74e071,Medium,Primary,True,False,13,Christian,Stable
47d73573-2374-485c-a23a-de2b0f7a795b,Medium,,True,False,10,Muslim,Stable
040279f4-3838-4149-90ba-4973d9905381,Low,,False,False,5,Christian,Stable
35ffc218-1cf5-4421-9d95-dbe303e4ac62,Medium,Primary,True,False,8,Muslim,Stable
4d67f428-6c9e-4811-881c-eb5610df94a8,Low,Primary,False,False,11,Christian,Stable
156a0e9a-2f56-40e2-8eb3-c40cd534dffe,High,Primary,True,False,7,Christian,Stable
